Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1117,N549AA,AA1117DFWAUS,Depart,DFW,22:10,2212,-97.0375,32.89638889
American,AA,1118,N241AA,AA1118AUSDFW,Arrive,DFW,11:55,1155,-97.0375,32.89638889
American,AA,1118,N241AA,AA1118AUSDFW,Depart,AUS,10:55,1057,-97.66972222,30.19444444
American,AA,1118,N266AA,AA1118DFWMSP,Arrive,MSP,15:10,1513,-93.21666667,44.88027778
American,AA,1118,N266AA,AA1118DFWMSP,Depart,DFW,13:10,1310,-97.0375,32.89638889
American,AA,1119,N458AA,AA1119INDDFW,Arrive,DFW,10:25,1029,-97.0375,32.89638889
American,AA,1119,N458AA,AA1119INDDFW,Depart,IND,8:55,856,-86.29416667,39.71722222
American,AA,1120,N577AA,AA1120SANDFW,Arrive,DFW,13:45,1349,-97.0375,32.89638889
American,AA,1120,N577AA,AA1120SANDFW,Depart,SAN,9:10,910,-117.1894444,32.73333333
American,AA,1121,N3BHAA,AA1121DTWMIA,Arrive,MIA,11:45,1145,-80.29055556,25.79305556
American,AA,1121,N3BHAA,AA1121DTWMIA,Depart,DTW,7:00,701,-83.35333333,42.21222222
American,AA,1122,N450AA,AA1122OAKDFW,Arrive,DFW,19:25,1928,-97.0375,32.89638889
American,AA,1122,N450AA,AA1122OAKDFW,Depart,OAK,14:10,1414,-122.2205556,37.72111111
American,AA,1123,N5DEAA,AA1123DFWPHX,Arrive,PHX,9:10,912,-112.0080556,33.43416667
American,AA,1123,N5DEAA,AA1123DFWPHX,Depart,DFW,7:20,723,-97.0375,32.89638889
American,AA,1124,N501AA,AA1124TUSDFW,Arrive,DFW,11:40,1143,-97.0375,32.89638889
American,AA,1124,N501AA,AA1124TUSDFW,Depart,TUS,8:40,840,-110.9413889,32.11611111
American,AA,1125,N4XHAA,AA1125DFWDEN,Arrive,DEN,15:00,1502,-104.6669444,39.85833333
American,AA,1125,N4XHAA,AA1125DFWDEN,Depart,DFW,14:00,1401,-97.0375,32.89638889
American,AA,1126,N4WKAA,AA1126LGBDFW,Arrive,DFW,14:50,1451,-97.0375,32.89638889
American,AA,1126,N4WKAA,AA1126LGBDFW,Depart,LGB,10:10,1010,-118.1513889,33.8175
American,AA,1127,N5WEAA,AA1127MCOSTL,Arrive,STL,12:40,1244,-90.35972222,38.7475
American,AA,1127,N5WEAA,AA1127MCOSTL,Depart,MCO,11:25,1127,-81.31583333,28.42888889
American,AA,1128,N3CLAA,AA1128DFWTPA,Arrive,TPA,9:50,953,-82.53305556,27.97527778
American,AA,1128,N3CLAA,AA1128DFWTPA,Depart,DFW,6:40,641,-97.0375,32.89638889
American,AA,1129,N590AA,AA1129TULDFW,Arrive,DFW,8:00,802,-97.0375,32.89638889
American,AA,1129,N590AA,AA1129TULDFW,Depart,TUL,6:55,657,-95.88805556,36.19833333
American,AA,1130,N597AA,AA1130ONTDFW,Arrive,DFW,17:35,1738,-97.0375,32.89638889
American,AA,1130,N597AA,AA1130ONTDFW,Depart,ONT,12:55,1257,-117.6011111,34.05583333
American,AA,1131,N521AA,AA1131MCOORD,Arrive,ORD,16:15,1619,-87.90444444,41.97944444
American,AA,1131,N521AA,AA1131MCOORD,Depart,MCO,14:35,1436,-81.31583333,28.42888889
American,AA,1132,N3DGAA,AA1132MIABDL,Arrive,BDL,23:15,2319,-72.68305556,41.93888889
American,AA,1132,N3DGAA,AA1132MIABDL,Depart,MIA,20:30,2031,-80.29055556,25.79305556
American,AA,1133,N207AA,AA1133ORDLAS,Arrive,LAS,13:25,1327,-115.1522222,36.08027778
American,AA,1133,N207AA,AA1133ORDLAS,Depart,ORD,11:20,1124,-87.90444444,41.97944444
American,AA,1133,N207AA,AA1133PHLORD,Arrive,ORD,10:40,1041,-87.90444444,41.97944444
American,AA,1133,N207AA,AA1133PHLORD,Depart,PHL,8:50,853,-75.24111111,39.87194444
American,AA,1134,N210AA,AA1134ELPDFW,Arrive,DFW,11:50,1154,-97.0375,32.89638889
American,AA,1134,N210AA,AA1134ELPDFW,Depart,ELP,9:10,914,-106.3777778,31.80666667
American,AA,1135,N259AA,AA1135DFWSJC,Arrive,SJC,13:45,1348,-121.9288889,37.36166667
American,AA,1135,N259AA,AA1135DFWSJC,Depart,DFW,11:55,1159,-97.0375,32.89638889
American,AA,1136,N558AA,AA1136STLMIA,Arrive,MIA,20:05,2005,-80.29055556,25.79305556
American,AA,1136,N558AA,AA1136STLMIA,Depart,STL,16:25,1626,-90.35972222,38.7475
American,AA,1137,N4YRAA,AA1137ORDSAN,Arrive,SAN,0:05,7,-117.1894444,32.73333333
